"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,fiscal_year
306.0,BHEL,0.0,560.0,-565.0,-468.0,-473.0,0
307.0,BHEL,0.0,989.0,961.0,-667.0,1283.0,0
308.0,BHEL,0.0,-3860.0,1919.0,-32.0,-1973.0,0
309.0,BHEL,0.0,-2892.0,1877.0,1622.0,608.0,0
310.0,BHEL,0.0,560.0,-42.0,-394.0,123.0,0
311.0,BHEL,0.0,660.0,-1118.0,-329.0,-787.0,0
312.0,BHEL,0.0,-741.0,1480.0,89.0,829.0,0
313.0,BHEL,0.0,-3713.0,1331.0,2656.0,274.0,0
314.0,BOSCHLTD,0.0,871.0,-824.0,-156.0,-108.0,0
315.0,BOSCHLTD,0.0,1057.0,-846.0,-238.0,-27.0,0
316.0,BOSCHLTD,0.0,1396.0,-1183.0,-237.0,-24.0,0
317.0,BOSCHLTD,0.0,1318.0,-995.0,-356.0,-33.0,0
318.0,BOSCHLTD,0.0,1457.0,1246.0,-2670.0,33.0,0
319.0,BOSCHLTD,0.0,1729.0,-1170.0,-325.0,234.0,0
320.0,BOSCHLTD,0.0,593.0,1766.0,-2531.0,-172.0,0
321.0,BOSCHLTD,0.0,1336.0,-873.0,-399.0,64.0,0
322.0,BOSCHLTD,0.0,835.0,-463.0,-338.0,34.0,0
323.0,BOSCHLTD,0.0,271.0,-33.0,-383.0,-146.0,0
324.0,BOSCHLTD,0.0,1214.0,262.0,-1239.0,236.0,0
325.0,BOSCHLTD,0.0,1253.0,283.0,-1452.0,84.0,0
326.0,BPCL,0.0,5926.0,-3604.0,-846.0,1476.0,0
327.0,BPCL,0.0,9588.0,-6881.0,-3736.0,-1029.0,0
328.0,BPCL,0.0,20742.0,-10536.0,-9792.0,414.0,0
329.0,BPCL,0.0,11119.0,-9233.0,-1332.0,555.0,0
330.0,BPCL,0.0,9041.0,-15274.0,4804.0,-1429.0,0
331.0,BPCL,0.0,11068.0,-7066.0,-4218.0,-215.0,0
332.0,BPCL,0.0,10157.0,-10451.0,207.0,-87.0,0
333.0,BPCL,0.0,7881.0,-11135.0,3583.0,329.0,0
334.0,BPCL,0.0,23455.0,-2474.0,-13981.0,7000.0,0
335.0,BPCL,0.0,20336.0,-8138.0,-17672.0,-5474.0,0
336.0,BPCL,0.0,12466.0,-7806.0,-4402.0,257.0,0
337.0,BPCL,0.0,35936.0,-10521.0,-25427.0,-12.0,0
338.0,BRITANNIA,0.0,320.0,28.0,-378.0,-30.0,0
339.0,BRITANNIA,0.0,671.0,-246.0,-357.0,68.0,0
340.0,BRITANNIA,0.0,584.0,-450.0,-181.0,-47.0,0
341.0,BRITANNIA,0.0,959.0,-705.0,-246.0,8.0,0
342.0,BRITANNIA,0.0,441.0,-150.0,-295.0,-4.0,0
343.0,BRITANNIA,0.0,1249.0,-957.0,-232.0,60.0,0
344.0,BRITANNIA,0.0,1156.0,-852.0,-353.0,-49.0,0
345.0,BRITANNIA,0.0,1485.0,-1526.0,58.0,17.0,0
346.0,BRITANNIA,0.0,1876.0,433.0,-2242.0,66.0,0
347.0,BRITANNIA,0.0,1300.0,914.0,-2246.0,-32.0,0
348.0,BRITANNIA,0.0,2526.0,-1507.0,-1028.0,-9.0,0
349.0,BRITANNIA,0.0,2573.0,477.0,-2830.0,219.0,0
350.0,CANBK,0.0,8010.0,-435.0,-1043.0,6532.0,0
351.0,CANBK,0.0,14244.0,-380.0,-3771.0,10092.0,0
352.0,CANBK,0.0,6344.0,-1104.0,-1464.0,3776.0,0
353.0,CANBK,0.0,9346.0,-443.0,-806.0,8096.0,0
354.0,CANBK,0.0,2575.0,-476.0,124.0,2224.0,0
355.0,CANBK,0.0,-11120.0,-487.0,2865.0,-8743.0,0
356.0,CANBK,0.0,18237.0,-745.0,-1185.0,16307.0,0
357.0,CANBK,0.0,-5289.0,-445.0,7792.0,2059.0,0
358.0,CANBK,0.0,59118.0,-1116.0,290.0,58291.0,0
359.0,CANBK,0.0,919.0,-1429.0,4035.0,3525.0,0
360.0,CANBK,0.0,-39978.0,-1156.0,445.0,-40689.0,0
361.0,CANBK,0.0,15046.0,-1750.0,-3834.0,9462.0,0
362.0,CHOLAFIN,0.0,-3754.0,5.0,4067.0,317.0,0
363.0,CHOLAFIN,0.0,-2447.0,-83.0,2749.0,219.0,0
364.0,CHOLAFIN,0.0,-2264.0,-40.0,1819.0,-485.0,0
365.0,CHOLAFIN,0.0,-2809.0,-137.0,3031.0,85.0,0
366.0,CHOLAFIN,0.0,-1468.0,-222.0,1692.0,2.0,0
367.0,CHOLAFIN,0.0,-7926.0,-60.0,8009.0,22.0,0
368.0,CHOLAFIN,0.0,-9317.0,-11.0,12191.0,2862.0,0
369.0,CHOLAFIN,0.0,-2075.0,-54.0,2452.0,323.0,0
370.0,CHOLAFIN,0.0,-8848.0,-1746.0,8707.0,-1888.0,0
371.0,CHOLAFIN,0.0,-5571.0,1640.0,5150.0,1218.0,0
372.0,CHOLAFIN,0.0,-27105.0,-2148.0,27466.0,-1787.0,0
373.0,CHOLAFIN,0.0,-35683.0,-2855.0,38471.0,-66.0,0
374.0,CIPLA,0.0,1398.0,-2063.0,718.0,53.0,0
375.0,CIPLA,0.0,1563.0,-1265.0,-266.0,33.0,0
376.0,CIPLA,0.0,1173.0,-950.0,165.0,388.0,0
377.0,CIPLA,0.0,1741.0,-4533.0,3104.0,312.0,0
378.0,CIPLA,0.0,2382.0,-1304.0,-1326.0,-248.0,0
379.0,CIPLA,0.0,1463.0,-834.0,-385.0,243.0,0
380.0,CIPLA,0.0,1691.0,-1688.0,-349.0,-345.0,0
381.0,CIPLA,0.0,3068.0,114.0,-2949.0,234.0,0
382.0,CIPLA,0.0,3755.0,-2374.0,-1240.0,141.0,0
383.0,CIPLA,0.0,3326.0,-1858.0,-1600.0,-132.0,0
384.0,CIPLA,0.0,3238.0,-2376.0,-958.0,-97.0,0
385.0,CIPLA,0.0,4134.0,-2982.0,-1200.0,-49.0,0
386.0,COALINDIA,0.0,9109.0,-1833.0,-7852.0,-575.0,0
387.0,COALINDIA,0.0,14525.0,8580.0,-25350.0,-2246.0,0
388.0,COALINDIA,0.0,14382.0,894.0,-15026.0,250.0,0
389.0,COALINDIA,0.0,13154.0,8154.0,-19587.0,1721.0,0
390.0,COALINDIA,0.0,16461.0,455.0,-17598.0,-682.0,0
391.0,COALINDIA,0.0,21115.0,-7747.0,-13564.0,-196.0,0
392.0,COALINDIA,0.0,16356.0,-7896.0,-10885.0,-2426.0,0
393.0,COALINDIA,0.0,4977.0,1033.0,-4791.0,1219.0,0
394.0,COALINDIA,0.0,10592.0,182.0,-8453.0,2321.0,0
395.0,COALINDIA,0.0,41107.0,-25715.0,-13441.0,1951.0,0
396.0,COALINDIA,0.0,35734.0,-23465.0,-13704.0,-1436.0,0
397.0,COALINDIA,0.0,18103.0,-4486.0,-13899.0,-282.0,0
398.0,DABUR,0.0,870.0,-622.0,-234.0,13.0,0
399.0,DABUR,0.0,1098.0,-104.0,-804.0,190.0,0
400.0,DABUR,0.0,1047.0,-876.0,-417.0,-245.0,0
401.0,DABUR,0.0,1187.0,-730.0,-374.0,82.0,0
402.0,DABUR,0.0,1227.0,-807.0,-339.0,81.0,0
403.0,DABUR,0.0,1092.0,-541.0,-577.0,-27.0,0
404.0,DABUR,0.0,1499.0,338.0,-1888.0,-51.0,0
405.0,DABUR,0.0,1614.0,-517.0,-1043.0,54.0,0
406.0,DABUR,0.0,2115.0,-1404.0,-613.0,97.0,0
407.0,DABUR,0.0,1802.0,-1273.0,-490.0,38.0,0
408.0,DABUR,0.0,1488.0,-583.0,-1035.0,-130.0,0
409.0,DABUR,0.0,2013.0,-971.0,-1161.0,-119.0,0
410.0,DIVISLAB,0.0,480.0,-255.0,-231.0,-5.0,0
411.0,DIVISLAB,0.0,557.0,-305.0,-248.0,3.0,0
412.0,DIVISLAB,0.0,826.0,-521.0,-303.0,3.0,0
413.0,DIVISLAB,0.0,1038.0,-406.0,-631.0,0.0,0
414.0,DIVISLAB,0.0,1150.0,-1140.0,2.0,13.0,0
415.0,DIVISLAB,0.0,776.0,-478.0,-314.0,-17.0,0
416.0,DIVISLAB,0.0,954.0,-685.0,-246.0,23.0,0
