"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
207.0,BAJAJ-AUTO,0.0,20137.0,15974.0,4163.0,21.0,674.0,1.0,181.0,4655.0,31.0,3380.0,117.0,43.0,0
208.0,BAJAJ-AUTO,0.0,21595.0,17467.0,4128.0,19.0,228.0,6.0,267.0,4083.0,31.0,3026.0,105.0,48.0,0
209.0,BAJAJ-AUTO,0.0,22574.0,17781.0,4793.0,21.0,1194.0,1.0,307.0,5679.0,28.0,4061.0,140.0,39.0,0
210.0,BAJAJ-AUTO,0.0,21755.0,17326.0,4429.0,20.0,1468.0,1.0,307.0,5588.0,27.0,4079.0,141.0,39.0,0
211.0,BAJAJ-AUTO,0.0,25210.0,20364.0,4846.0,19.0,1404.0,1.0,315.0,5933.0,29.0,4219.0,146.0,41.0,0
212.0,BAJAJ-AUTO,0.0,30358.0,25160.0,5198.0,17.0,2028.0,4.0,266.0,6956.0,29.0,4928.0,170.0,35.0,0
213.0,BAJAJ-AUTO,0.0,29919.0,24809.0,5109.0,17.0,1832.0,3.0,246.0,6692.0,22.0,5212.0,180.0,67.0,0
214.0,BAJAJ-AUTO,0.0,27741.0,22803.0,4938.0,18.0,1570.0,7.0,259.0,6241.0,22.0,4857.0,168.0,83.0,0
215.0,BAJAJ-AUTO,0.0,33145.0,27886.0,5259.0,16.0,2671.0,9.0,270.0,7652.0,19.0,6166.0,213.0,66.0,0
216.0,BAJAJ-AUTO,0.0,36455.0,29991.0,6465.0,18.0,1703.0,40.0,286.0,7842.0,23.0,6060.0,214.0,65.0,0
217.0,BAJAJ-AUTO,0.0,44870.0,36106.0,8765.0,20.0,1700.0,60.0,365.0,10040.0,23.0,7708.0,276.0,29.0,0
218.0,BAJAJ-AUTO,0.0,48900.0,39757.0,9143.0,19.0,1535.0,164.0,379.0,10135.0,0.0,7371.0,263.0,0.0,0
219.0,AXISBANK,0.0,27183.0,17516.0,8313.0,1353.0,5.0,6551.0,352.0,7553.0,31.0,5179.0,22.0,16.0,0
220.0,AXISBANK,0.0,30641.0,18690.0,9644.0,2307.0,8.0,7405.0,364.0,9349.0,33.0,6218.0,26.0,15.0,0
221.0,AXISBANK,0.0,35479.0,21254.0,11127.0,3097.0,9.0,8365.0,406.0,11057.0,33.0,7358.0,31.0,15.0,0
222.0,AXISBANK,0.0,40988.0,24155.0,13367.0,3466.0,8.0,9371.0,444.0,12394.0,34.0,8224.0,35.0,14.0,0
223.0,AXISBANK,0.0,44542.0,26449.0,23808.0,-5715.0,-13.0,11691.0,509.0,5468.0,33.0,3679.0,15.0,33.0,0
224.0,AXISBANK,0.0,45780.0,27163.0,28895.0,-10277.0,-22.0,10967.0,568.0,122.0,-99.0,276.0,1.0,0.0,0
225.0,AXISBANK,0.0,54986.0,33278.0,27155.0,-5447.0,-10.0,13130.0,710.0,6974.0,33.0,4677.0,18.0,6.0,0
226.0,AXISBANK,0.0,62635.0,37429.0,35066.0,-9859.0,-16.0,15537.0,773.0,4904.0,67.0,1627.0,6.0,0.0,0
227.0,AXISBANK,0.0,63346.0,34107.0,31749.0,-2510.0,-4.0,12264.0,948.0,8806.0,25.0,6588.0,22.0,0.0,0
228.0,AXISBANK,0.0,67377.0,34245.0,29962.0,3170.0,5.0,15221.0,1008.0,17383.0,25.0,13025.0,42.0,2.0,0
229.0,AXISBANK,0.0,85164.0,42218.0,29089.0,13857.0,16.0,16143.0,13094.0,16906.0,43.0,9580.0,31.0,3.0,0
230.0,AXISBANK,0.0,109369.0,59474.0,37943.0,11952.0,11.0,22442.0,1334.0,33060.0,25.0,24861.0,81.0,1.0,0
231.0,AXISBANK,0.0,120659.0,67033.0,44566.0,9061.0,8.0,25243.0,0.0,34304.0,0.0,26386.0,85.0,0.0,0
232.0,BAJAJFINSV,0.0,8055.0,4124.0,3931.0,49.0,2.0,1204.0,22.0,2708.0,18.0,2214.0,10.0,2.0,0
233.0,BAJAJFINSV,0.0,6023.0,1531.0,4491.0,75.0,3.0,1562.0,31.0,2902.0,24.0,2191.0,10.0,2.0,0
234.0,BAJAJFINSV,0.0,11335.0,5823.0,5511.0,49.0,8.0,2230.0,38.0,3251.0,26.0,2409.0,11.0,2.0,0
235.0,BAJAJFINSV,0.0,20533.0,13795.0,6739.0,33.0,0.0,2877.0,58.0,3804.0,27.0,2775.0,12.0,1.0,0
236.0,BAJAJFINSV,0.0,24507.0,15794.0,8713.0,36.0,0.0,3716.0,73.0,4925.0,30.0,3450.0,14.0,1.0,0
237.0,BAJAJFINSV,0.0,32862.0,22074.0,10788.0,33.0,1.0,4531.0,160.0,6099.0,32.0,4176.0,17.0,1.0,0
238.0,BAJAJFINSV,0.0,42605.0,27569.0,15037.0,35.0,2.0,6657.0,226.0,8155.0,34.0,5374.0,20.0,1.0,0
239.0,BAJAJFINSV,0.0,54351.0,36094.0,18258.0,34.0,0.0,9500.0,457.0,8302.0,28.0,5994.0,21.0,2.0,0
240.0,BAJAJFINSV,0.0,60592.0,40950.0,19641.0,32.0,-7.0,9274.0,498.0,9862.0,25.0,7367.0,28.0,1.0,0
